Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
2874,2017-10-27 04:29:53.38,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D2 FFFF,2017-10-27 04:29:54.02,.
479,2017-10-27 03:06:05.59,SWITCH,BCSU-2 1A003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C9 FFFF,2017-10-27 03:06:11.73,.
2876,2017-10-27 04:30:02.49,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:30:02.77,.
2877,2017-10-27 04:30:12.55,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:30:14.22,.
2878,2017-10-27 04:30:12.68,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CE FFFF,2017-10-27 04:30:13.83,.
2879,2017-10-27 04:30:12.85,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CD FFFF,2017-10-27 04:30:13.92,.
2880,2017-10-27 04:30:13.07,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D7 FFFF,2017-10-27 04:30:13.84,.
19,2017-10-27 02:59:25.46,SWITCH,BCSU-2 1A003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C9 FFFF,2017-10-27 02:59:29.64,.
2882,2017-10-27 04:30:13.31,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:30:21.75,.
2883,2017-10-27 04:30:13.35,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D6 FFFF,2017-10-27 04:30:14.00,.
2884,2017-10-27 04:30:13.37,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D2 FFFF,2017-10-27 04:30:14.14,.
2885,2017-10-27 04:30:13.39,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 04:30:14.02,.
2886,2017-10-27 04:30:13.46,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 04:30:14.00,.
481,2017-10-27 03:06:10.61,SWITCH,BCSU-2 1A003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C5 FFFF,2017-10-27 03:06:11.73,.
2888,2017-10-27 04:30:13.56,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:30:14.20,.
2889,2017-10-27 04:30:32.61,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:30:42.34,.
2890,2017-10-27 04:30:47.28,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:30:51.56,.
1460,2017-10-27 03:33:36.68,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 03:33:42.59,.
2892,2017-10-27 04:30:51.46,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:30:51.60,.
482,2017-10-27 03:06:10.68,SWITCH,BCSU-4 1A004-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C3 FFFF,2017-10-27 03:06:12.21,.
2896,2017-10-27 04:31:01.05,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D6 FFFF,2017-10-27 04:31:01.07,.
2897,2017-10-27 04:31:01.29,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:31:01.55,.
2898,2017-10-27 04:31:32.52,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:31:32.82,.
483,2017-10-27 03:06:10.69,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 03F5 FFFF,2017-10-27 03:06:11.61,.
2900,2017-10-27 04:31:41.84,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 04:31:42.09,.
2901,2017-10-27 04:32:11.50,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:32:11.55,.
2902,2017-10-27 04:32:21.28,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D2 FFFF,2017-10-27 04:32:21.49,.
2903,2017-10-27 04:32:31.35,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D6 FFFF,2017-10-27 04:32:31.50,.
2904,2017-10-27 04:32:42.26,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D6 FFFF,2017-10-27 04:32:42.54,.
484,2017-10-27 03:06:10.71,SWITCH,BCSU-2 1A003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CA FFFF,2017-10-27 03:06:11.98,.
2906,2017-10-27 04:33:11.57,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 04:33:11.58,.
2907,2017-10-27 04:33:12.20,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:33:12.85,.
